City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,San Patricio,US,28.017,-97.5169,70.54,70,100,7.18,overcast clouds
162,Narsaq,GL,60.9167,-46.05,-0.69,78,0,4.92,clear sky
163,Souillac,MU,-20.5167,57.5167,79.18,89,40,4.61,scattered clouds
164,Wachtberg,DE,50.6213,7.1259,48.0,44,5,7.47,clear sky
165,Torbay,CA,47.6666,-52.7314,33.58,77,75,24.16,broken clouds
166,Aneho,TG,6.2333,1.6,84.4,84,100,12.21,overcast clouds
167,Ballina,AU,-28.8667,153.5667,67.96,96,75,1.14,broken clouds
168,Talnakh,RU,69.4865,88.3972,-23.8,98,59,7.56,broken clouds
169,Upernavik,GL,72.7868,-56.1549,-12.35,98,80,3.04,broken clouds
170,Sur,OM,22.5667,59.5289,78.35,46,0,7.83,clear sky
171,Piacabucu,BR,-10.4056,-36.4344,79.45,79,54,9.75,broken clouds
172,Cape Canaveral,US,28.4058,-80.6048,72.99,86,40,25.32,moderate rain
173,Porto Walter,BR,-8.2686,-72.7439,78.48,78,98,2.55,overcast clouds
174,Guaruja,BR,-23.9931,-46.2564,85.86,70,0,3.44,clear sky
175,Hasaki,JP,35.7333,140.8333,39.6,68,100,12.1,overcast clouds
176,Binga,ZW,-17.6203,27.3414,72.0,79,21,1.66,few clouds
177,Fairbanks,US,64.8378,-147.7164,23.09,64,100,11.5,overcast clouds
178,Tura,IN,25.5198,90.2201,67.33,27,8,2.48,clear sky
179,Ambanja,MG,-13.6833,48.45,74.77,95,100,3.29,moderate rain
180,Umkomaas,ZA,-30.2067,30.7978,75.6,86,26,7.36,scattered clouds
181,Santa Lucia,ES,27.9117,-15.5407,54.77,63,20,16.11,few clouds
182,Hithadhoo,MV,-0.6,73.0833,81.59,61,19,2.51,few clouds
183,Bure,ET,10.7,37.0667,71.11,23,98,5.19,overcast clouds
184,Warrington,GB,53.3925,-2.5802,54.86,81,75,11.5,broken clouds
185,Meghri,AM,38.9029,46.2446,40.26,88,65,3.36,broken clouds
186,Marsa Matruh,EG,31.3525,27.2453,52.0,71,40,23.02,scattered clouds
187,Yar-Sale,RU,66.8333,70.8333,-16.28,100,93,6.98,overcast clouds
188,Heinola,FI,61.2056,26.0381,28.0,91,100,8.66,overcast clouds
189,Tromso,NO,69.6496,18.957,37.42,81,75,19.57,light intensity shower rain
190,Ostersund,SE,63.1792,14.6357,34.25,69,0,5.75,clear sky
191,Tongzi,CN,28.7829,105.0877,66.69,69,3,1.32,clear sky
192,Lebu,CL,-37.6167,-73.65,59.76,81,15,22.59,few clouds
193,Nouadhibou,MR,20.931,-17.0347,69.78,64,0,18.41,clear sky
194,Batagay-Alyta,RU,67.8006,130.4114,-7.31,87,100,1.03,overcast clouds
195,Leh,IN,34.1667,77.5833,4.59,67,48,2.93,scattered clouds
196,Manaure,CO,11.7751,-72.4445,84.25,63,80,16.24,broken clouds
197,Agadez,NE,19.75,10.25,67.57,20,1,10.33,clear sky
198,Gao,ML,16.6362,1.637,79.66,9,30,10.27,scattered clouds
199,La Primavera,CO,5.4906,-70.4092,89.19,44,100,9.71,overcast clouds
200,Puerto Ayora,EC,-0.7393,-90.3518,85.96,84,72,3.0,broken clouds
201,Cap Malheureux,MU,-19.9842,57.6142,78.48,86,6,4.0,clear sky
202,Huilong,CN,31.8111,121.655,53.92,92,60,4.61,broken clouds
203,Cabedelo,BR,-6.9811,-34.8339,81.27,77,99,14.36,overcast clouds
204,Lompoc,US,34.6391,-120.4579,75.69,60,0,20.0,clear sky
205,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,69.3,81,100,13.96,moderate rain
206,Barcelos,PT,41.5388,-8.6151,57.34,92,95,21.7,overcast clouds
207,Raymond,US,43.9015,-70.4703,45.52,80,55,2.89,broken clouds
208,Oum Hadjer,TD,13.2954,19.6966,85.01,14,35,17.87,scattered clouds
209,Kanye,BW,-24.9667,25.3327,69.49,59,81,4.61,broken clouds
210,Pisco,PE,-13.7,-76.2167,75.25,69,0,21.85,moderate rain
211,Chumikan,RU,54.7183,135.315,15.84,95,100,11.54,snow
212,Ixtapa,MX,20.7,-105.2,82.02,39,15,8.16,few clouds
213,Mount Pleasant,US,32.7941,-79.8626,60.01,91,100,8.05,overcast clouds
214,Elat,IL,29.5581,34.9482,62.44,29,40,20.71,scattered clouds
215,Muroto,JP,33.2833,134.15,55.8,63,100,5.39,overcast clouds
216,Eyemouth,GB,55.8713,-2.0901,51.24,86,50,11.63,scattered clouds
217,Bouna,CI,9.2667,-3.0,86.25,15,69,0.83,broken clouds
218,Kodiak,US,57.79,-152.4072,42.31,87,100,8.05,overcast clouds
219,Guerrero Negro,MX,27.9769,-114.0611,67.06,42,31,13.62,scattered clouds
220,Carutapera,BR,-1.195,-46.02,76.14,91,100,4.52,overcast clouds
221,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,11.5,scattered clouds
222,Boguchany,RU,58.3814,97.4531,-19.8,100,97,0.72,overcast clouds
223,Berlevag,NO,70.8578,29.0864,37.35,70,75,31.07,broken clouds
224,Lata,PT,40.1629,-8.3327,56.91,92,100,9.71,overcast clouds
225,Alice Springs,AU,-23.7,133.8833,63.21,50,50,2.3,scattered clouds
226,Lisakovsk,KZ,52.5369,62.4936,4.08,97,100,11.1,overcast clouds
227,Fomboni,KM,-12.28,43.7425,81.73,80,100,14.14,light rain
228,Kidal,ML,18.4411,1.4078,77.79,12,23,9.22,few clouds
229,Vanimo,PG,-2.6741,141.3028,77.59,85,99,2.89,overcast clouds
230,Nioro,GM,13.35,-15.75,79.99,32,43,9.55,scattered clouds
231,Awbari,LY,26.5921,12.7805,52.93,25,4,7.94,clear sky
232,Nelson Bay,AU,-32.7167,152.15,70.0,92,47,1.99,light rain
233,Saint-Augustin,CA,51.226,-58.6502,26.67,88,100,11.5,overcast clouds
