City_ID,index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,468,Kieta,PG,81.72,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
191,470,Kisumu,KE,69.69,overcast clouds,-0.1022,34.7617,Kisumu Hostel
192,474,Mitsamiouli,KM,82.62,overcast clouds,-11.3847,43.2844,Foyer ADM
193,475,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
194,476,Caravelas,BR,77.5,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
195,477,San Cristobal,VE,72.55,overcast clouds,7.7669,-72.225,Pirineos
196,481,Danielskuil,ZA,71.49,broken clouds,-28.1887,23.5395,Botha'Sig Gastehuis
197,482,Manaus,BR,78.13,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
198,484,Balabac,PH,78.78,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
199,485,Trinidad,BO,77.04,overcast clouds,-14.8333,-64.9,Hotel Piesta
200,487,Ocampo,MX,72.25,few clouds,21.65,-101.5,Hotel Estancia del Vaquero
201,488,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
202,492,Vangaindrano,MG,75.38,light rain,-23.35,47.6,Hotel Fanilo
203,493,Camana,PE,74.23,clear sky,-16.6228,-72.7111,Hostal Morales
204,498,Mecca,SA,73.71,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
205,499,Carolina,PR,78.66,broken clouds,18.3808,-65.9574,Motel Fantasy Star
206,504,Sao Jose Da Coroa Grande,BR,80.1,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
207,507,Bourail,NC,81.73,broken clouds,-21.5667,165.4833,Motel Allamanda
208,510,Ilhabela,BR,77.85,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
209,511,Tondano,ID,66.29,overcast clouds,1.3038,124.9112,Villa Bella
210,523,Loikaw,MM,69.42,scattered clouds,19.6742,97.2094,Myat Nan Taw Hotel
211,524,Mailsi,PK,68.18,clear sky,29.8003,72.1758,Mian Lodge
212,525,Ugoofaaru,MV,82.08,clear sky,5.6667,73.0,Ungoofaaru Inn
213,526,Taybad,IR,66.02,overcast clouds,34.74,60.7756,لی پوش jean center
214,527,Rocha,UY,66.49,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
215,531,Roswell,US,67.73,few clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
216,532,Tam Ky,VN,65.17,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
217,536,Kawhia,NZ,70.5,few clouds,-38.0651,174.8183,Kawhia Beachside Scape Holiday Park
218,537,Brandon,US,75.99,light intensity drizzle,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
219,540,Madang,PG,78.62,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
220,541,Alta Floresta,BR,73.67,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
221,544,Hervey Bay,AU,76.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
222,547,Dangriga,BZ,82.13,clear sky,16.9692,-88.2321,Chaleanor Hotel
223,549,Mayumba,GA,80.69,overcast clouds,-3.432,10.6554,LIKWALE LODGE
224,551,Hualmay,PE,75.04,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
225,553,Emerald,AU,74.34,few clouds,-23.5333,148.1667,The Irish Village
226,555,Abu Zabad,SD,81.37,broken clouds,12.35,29.25,حامد محمد نور
227,556,Santiago Del Estero,AR,68.13,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
228,557,Constitucion,CL,67.21,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
229,558,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
230,560,Oriximina,BR,74.3,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
231,561,Bengkulu,ID,75.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
232,565,La Asuncion,VE,77.47,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
233,567,Harper,LR,81.16,overcast clouds,4.375,-7.7169,Screensaver
234,568,Sherpur,BD,69.24,clear sky,25.0188,90.0175,জামালপুর মডেল ছাত্রাবাস
235,569,Kuah,MY,80.08,overcast clouds,6.3265,99.8432,Azio Hotel
